user_id,age,gender,height_cm,weight_kg,bmi,shoe_size,apparel_size,foot_arch_type,primary_sport,fitness_level,workouts_per_week,indoor_or_outdoor,budget_min,budget_max,preferred_brands,style_preference,color_preference,material_preference,location,climate
U00001,21,female,165.3,47.8,17.5,9.0,XS,high,skateboarding,beginner,2,outdoor,11,35,Nike|Adidas,casual,navy,synthetic,"Denver, CO",cold
U00002,49,male,179.6,70.6,21.9,11.0,S,low,training,beginner,4,indoor,13,42,Adidas|Nike,athleisure,black,synthetic,"Phoenix, AZ",hot
U00003,26,male,183.5,81.8,24.3,11.0,M,normal,running,intermediate,5,outdoor,39,214,Nike|Jordan|Adidas,performance,grey,cotton,"Houston, TX",tropical
U00004,41,male,183.5,64.0,19.0,11.0,XS,normal,football,beginner,4,indoor,10,51,Adidas|Jordan,performance,grey,polyester,"Los Angeles, CA",hot
U00005,41,male,184.1,99.3,29.3,11.5,XL,normal,running,advanced,2,both,30,109,Jordan,performance,black,mesh,"Minneapolis, MN",cold
U00006,50,male,184.1,95.9,28.3,11.5,L,normal,football,intermediate,2,indoor,37,88,Nike|Adidas,performance,multi,synthetic,"Detroit, MI",continental
U00007,24,female,161.0,69.7,26.9,8.0,L,normal,basketball,intermediate,2,indoor,19,88,Jordan,retro,multi,mesh,"San Francisco, CA",temperate
U00008,54,male,170.4,65.9,22.7,8.0,M,high,football,advanced,4,indoor,51,176,Adidas|Nike,casual,black,synthetic,"San Francisco, CA",temperate
U00009,25,female,165.4,62.9,23.0,8.5,M,low,basketball,intermediate,4,indoor,21,127,Adidas|Nike|Jordan,athleisure,white,synthetic,"Atlanta, GA",temperate
U00010,18,male,169.8,72.7,25.2,9.0,M,normal,running,intermediate,4,outdoor,23,95,Nike|Adidas|Jordan,athleisure,black,mesh,"Los Angeles, CA",hot
U00011,20,female,156.4,64.3,26.3,7.5,L,normal,lifestyle,beginner,3,indoor,18,70,Nike|Adidas,athleisure,green,leather,"Houston, TX",tropical
U00012,40,female,160.6,79.4,30.8,8.5,XL,low,football,advanced,3,outdoor,65,147,Adidas,performance,grey,leather,"Minneapolis, MN",cold
U00013,21,female,170.7,69.3,23.8,9.5,M,high,training,beginner,3,both,26,127,Adidas|Nike,casual,multi,nylon,"Minneapolis, MN",cold
U00014,31,male,166.4,88.6,32.0,9.0,XL,normal,football,intermediate,2,outdoor,15,86,Adidas,retro,blue,synthetic,"Dallas, TX",hot
U00015,56,male,173.6,67.8,22.5,9.0,M,normal,running,advanced,3,both,40,239,Adidas|Nike|Jordan,performance,black,mesh,"Portland, OR",temperate
U00016,26,female,165.8,65.2,23.7,9.0,M,high,running,beginner,5,outdoor,16,51,Adidas,performance,yellow,synthetic,"Phoenix, AZ",hot
U00017,25,female,176.8,80.6,25.8,10.5,L,low,running,beginner,3,outdoor,11,36,Adidas|Nike,performance,green,cotton,"Seattle, WA",temperate
U00018,35,female,155.8,48.8,20.1,7.5,S,normal,training,intermediate,4,indoor,11,52,Jordan,athleisure,black,nylon,"Boston, MA",continental
U00019,40,male,177.5,63.6,20.2,10.0,S,normal,running,advanced,3,outdoor,42,187,Jordan|Nike,performance,black,nylon,"Seattle, WA",temperate
U00020,52,male,171.1,68.8,23.5,9.0,M,low,basketball,intermediate,4,both,42,171,Jordan|Adidas|Nike,retro,beige,synthetic,"Los Angeles, CA",hot
U00021,18,female,161.5,57.6,22.1,8.5,M,high,yoga,intermediate,3,indoor,10,53,Adidas|Nike,casual,multi,cotton,"San Diego, CA",hot
U00022,31,female,161.0,62.2,24.0,8.0,M,high,lifestyle,intermediate,4,both,29,73,Adidas|Nike,athleisure,pink,gore-tex,"Detroit, MI",continental
U00023,21,male,177.1,97.9,31.2,11.0,XL,normal,running,beginner,3,indoor,24,63,Nike,athleisure,black,mesh,"San Francisco, CA",temperate
U00024,20,male,177.5,84.4,26.8,10.5,L,normal,running,intermediate,4,both,21,86,Nike,casual,black,nylon,"Orlando, FL",tropical
U00025,32,female,169.7,77.2,26.8,9.0,L,high,basketball,intermediate,3,both,26,82,Nike|Adidas,performance,red,fleece,"Los Angeles, CA",hot
